,id,title,original_title,release_date,budget,revenue,popularity,vote_average,vote_count,runtime,original_language,year
0,140607,Star Wars: The Force Awakens,Star Wars: The Force Awakens,2015-12-15,245000000,2068223624,21.4627,7.248,20688,136,en,2015
1,135397,Jurassic World,Jurassic World,2015-06-06,150000000,1671537444,18.7528,6.703,21726,124,en,2015
2,168259,Furious 7,Furious 7,2015-04-01,190000000,1515400000,13.9605,7.216,11381,138,en,2015
3,99861,Avengers: Age of Ultron,Avengers: Age of Ultron,2015-04-22,235000000,1405403694,33.7251,7.275,24664,141,en,2015
4,211672,Minions,Minions,2015-06-17,74000000,1159457503,10.9013,6.421,11184,91,en,2015
5,206647,Spectre,Spectre,2015-10-26,245000000,880707597,10.7827,6.571,11343,148,en,2015
6,150540,Inside Out,Inside Out,2015-06-17,175000000,857611174,26.6941,7.908,23652,95,en,2015
7,177677,Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,2015-07-28,150000000,682716636,11.2969,7.225,9807,131,en,2015
8,131634,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,2015-11-18,160000000,653428261,9.8635,6.902,13449,137,en,2015
9,286217,The Martian,The Martian,2015-09-30,108000000,631058917,22.949,7.706,21509,141,en,2015
10,216015,Fifty Shades of Grey,Fifty Shades of Grey,2015-02-11,40000000,569651467,20.7145,5.867,12472,125,en,2015
11,150689,Cinderella,Cinderella,2015-03-06,95000000,543514353,15.728,6.826,7455,105,en,2015
12,281957,The Revenant,The Revenant,2015-12-25,135000000,532950503,15.438,7.541,19485,157,en,2015
13,102899,Ant-Man,Ant-Man,2015-07-14,130000000,519311965,21.8919,7.067,21008,117,en,2015
14,254128,San Andreas,San Andreas,2015-05-27,110000000,473990832,15.2603,6.248,9100,114,en,2015
15,159824,Hotel Transylvania 2,Hotel Transylvania 2,2015-09-21,80000000,473200000,10.1743,6.765,6183,89,en,2015
16,87101,Terminator Genisys,Terminator Genisys,2015-06-23,155000000,440603537,14.196,5.959,9057,126,en,2015
17,207703,Kingsman: The Secret Service,Kingsman: The Secret Service,2015-01-24,81000000,414351546,14.4617,7.62,17944,129,en,2015
18,334298,Monster Hunt,捉妖记,2015-07-16,0,387053506,2.5642,6.5,377,118,zh,2015
19,76341,Mad Max: Fury Road,Mad Max: Fury Road,2015-05-13,150000000,378858340,30.4213,7.635,24295,121,en,2015
20,228161,Home,Home,2015-03-18,135000000,368871007,9.1863,6.79,4268,94,en,2015
21,105864,The Good Dinosaur,The Good Dinosaur,2015-11-14,175000000,332207671,12.704,6.749,6077,93,en,2015
22,228165,The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,2015-01-28,74000000,325186032,8.486,6.11,2566,93,en,2015
23,294254,Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials,2015-09-09,61000000,312296056,10.8836,6.731,11134,131,en,2015
24,262500,Insurgent,Insurgent,2015-03-18,110000000,297002527,7.8695,6.36,10506,119,en,2015
25,254470,Pitch Perfect 2,Pitch Perfect 2,2015-05-07,29000000,287144079,6.9633,6.8,5546,115,en,2015
26,299824,Mojin: The Lost Legend,寻龙诀,2015-12-18,37000000,278300000,2.3834,6.236,265,127,zh,2015
27,227973,The Peanuts Movie,The Peanuts Movie,2015-11-05,99000000,246233113,5.5334,7.0,1816,88,en,2015
28,257344,Pixels,Pixels,2015-07-16,88000000,244874809,12.6281,5.784,8110,106,en,2015
